,text,time,lang,country,retweets,favorites
99,"Congrats to Dr. Carrie Heitman, whose article ""'A Mother for All the People': Feminist Science and Chacoan... https://t.co/66bKl4Tyhs",Mon Jul 25 15:00:08 +0000 2016,en,,0,0
102,"RT @1followernodad: Cool how I just read an article titled ""What Really Happens to Your Career After a Baby?"" even though I have neither.",Mon Jul 25 15:00:09 +0000 2016,en,,0,0
103,Great article on https://t.co/up8QitHu37's acquisition of Affinity Circles. https://t.co/hpTiFm12yf,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
104,RT @wikileaks: #DNCLeak: DNC instructs staff to covertly spread article depicting @SenSander's supporters as violent https://t.co/zgjC2qLwT…,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
105,RT @worldarchery: ARTICLE. Martin captures European youth title ahead of @Olympics debut https://t.co/oimNeWBzN1 #archery #RoadToRio https:…,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
108,Competition Within The 3D Printing Industry Is Heating Up: Validating Its Market Potential https://t.co/xnzVB1rz5y $SSYS $DDD $HPQ,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
109,Timeline of terror: The attacks on the West in the last 12 months - https://t.co/juMexsPOsp #terrorism #is #isil #terror,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
110,"RT @allkpop: What did Youngji do when she read kind comments about her acting?
https://t.co/I2iGicWBPb https://t.co/HqXFYcAq9s",Mon Jul 25 15:00:09 +0000 2016,en,,0,0
111,RT @AAPInNews: Delhi and Gujarat will fight together against BJP: Arvind Kejriwal - The Indian Express - https://t.co/IgfAV7KM7z,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
112,@trouvaiIIes i read that article lol,Mon Jul 25 15:00:09 +0000 2016,en,,0,0
113,New article: Syriac Catholic Patriarch Warns: Western Politicians and Media Mislead World on Middle East https://t.co/86jp2sx6dX,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
114,@DrCarrieM And now because of you I have read the article and it is indeed a very important one.,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
115,Marc is a true class act and his dedication to amateur baseball can't be topped! https://t.co/qHDATlIdL1,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
118,My sister continues to impress me! https://t.co/WWJ4KBXcMY,Mon Jul 25 15:00:10 +0000 2016,en,United States,0,0
119,@WOWpetition You may find my post interesting. A deconstruction of Frances Ryan's article https://t.co/gZtPa9mQWW   via @BobTwoHats,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
120,Woman Mauled To Death By Tiger - Weirld News https://t.co/kjtNDrHsrP #tiger #siberiantiger #safari #zoo #beijing #tigerattack #dontdothis...,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
121,Thai students use social media to stoke opposition to draft charter https://t.co/tFDjTTmuGG,Mon Jul 25 15:00:10 +0000 2016,en,,0,0
125,"Good luck, but you will never reach this pinnacle again. Greatest. Article. Ever.  https://t.co/yybx9BuWti https://t.co/sdRP8nlP6v",Mon Jul 25 15:00:10 +0000 2016,en,,0,0
126,"Southwest still delaying, canceling flights after technology outage https://t.co/32Sek8U2Ul via @HoustonChron",Mon Jul 25 15:00:11 +0000 2016,en,,0,0
128,"RT @Ra_THORe: #TransformingIndia
India's smartphone revolution: 35 units,37,000 jobs in 2 yrs
https://t.co/Hbt5FmIZBp

via NMApp https://t…",Mon Jul 25 15:00:11 +0000 2016,en,,0,0
129,RT @IT_securitynews: The End Of Yahoo: Why Verizon Spent Big: IT Security News mobile apps. Read the complete article: The End… https://t.c…,Mon Jul 25 15:00:11 +0000 2016,en,,0,0
132,#Windows10 Anniversary Update: A look at the major changes heading your way - #IT #Microsoft - https://t.co/bTqY40II5Z,Mon Jul 25 15:00:11 +0000 2016,en,,0,0
133,"Rueed - Love Is The Answer Pt2 ft. Atooshi
https://t.co/9o8br33NfZ",Mon Jul 25 15:00:11 +0000 2016,en,,0,0
135,good article explaining why you should prefer passive over actively managed funds https://t.co/pjNcgUkzv3,Mon Jul 25 15:00:11 +0000 2016,en,,0,0
137,"RT @Exolusa: {ARTICLE} 160725
[★TRENDING] Suicidal girl defeats depression with her love for EXO
https://t.co/VekbeU8cZ8

- Hannah",Mon Jul 25 15:00:11 +0000 2016,en,,0,0
140,"https://t.co/FFSkztDiH0 In our latest #Sayitin7 article, we focus on 'Realising Ambition' in both 7s &amp; business https://t.co/az9ynx3i8A",Mon Jul 25 15:00:11 +0000 2016,en,,0,0
141,"Feel like you're in charge of your schedule?
https://t.co/a6YV3QoiPf #ProductivityNinja #timemanagement",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
143,RT @espngolic: Really good read https://t.co/zSBRMc5dQV,Mon Jul 25 15:00:12 +0000 2016,en,,0,0
144,Take a look at this article and how Toyota aims to improve car safety!  -... https://t.co/bry6X8F3tV,Mon Jul 25 15:00:12 +0000 2016,en,,0,0
147,"RT @wikileaks: @nytimes Major error. The documents the article talks about are not the emails we released. Infact, not emails at all.",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
148,"RT @allkpop: DIA to release 1,000 more copies of their 2nd album
https://t.co/co7l9q9K3F https://t.co/C8zOeOfE1y",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
149,"RT @JeremyCorbyn4PM: Great article from @NeilFindlay_MSP
#jeremy4leader
https://t.co/WD3axNOHWe https://t.co/hvKLQp2aRw",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
150,"RT @CsharpCorner: Authenticate, Search &amp; Add Records In #GridView In #ASPNet by @HanifHefaz cc @CsharpCorner https://t.co/1MxUMP0qd1 https:…",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
152,4 Ways to Use Industry Trends to Legitimize Your Growing Business- https://t.co/iUbTk4f1bU #trends #business,Mon Jul 25 15:00:12 +0000 2016,en,,0,0
154,RT @Mobil1TheGrid: American Century – @Specutainment on 100 wins for @CorvetteRacing. https://t.co/yrWdqv3mRS @IMSA @FIAWEC @Mobil1 @GM htt…,Mon Jul 25 15:00:12 +0000 2016,en,,0,0
155,Great article from @The_OMPT on 5 effective ways to get results out of the prone press up: https://t.co/zZkEWyXNfI https://t.co/pYvG5L0ypl,Mon Jul 25 15:00:12 +0000 2016,en,,0,0
156,"RT @annehelen: “I remember doing the interview and being like, ‘that was an odd one…’  JUST SAY SEXIST MARGOT https://t.co/JGNq1bzLET",Mon Jul 25 15:00:12 +0000 2016,en,,0,0
